,rank,school_name,school_location,score
0,1,Princeton University ,"Princeton, NJ",4.7
1,1,University of California—​Berkeley ,"Berkeley, CA",4.7
2,1,University of Wisconsin—​Madison ,"Madison, WI",4.7
4,4,Stanford University ,"Stanford, CA",4.6
5,4,University of Michigan—​Ann Arbor ,"Ann Arbor, MI",4.6
6,6,Harvard University ,"Cambridge, MA",4.5
7,6,University of Chicago ,"Chicago, IL",4.5
8,6,University of North Carolina—​Chapel Hill ,"Chapel Hill, NC",4.5
9,9,University of California—​Los Angeles ,"Los Angeles, CA",4.4
10,10,Northwestern University ,"Evanston, IL",4.3
11,10,University of Pennsylvania ,"Philadelphia, PA",4.3
12,12,Columbia University ,"New York, NY",4.2
13,12,Indiana University—​Bloomington ,"Bloomington, IN",4.2
14,14,Duke University ,"Durham, NC",4.1
15,14,University of Texas—​Austin ,"Austin, TX",4.1
16,16,New York University ,"New York, NY",4.0
17,17,Cornell University ,"Ithaca, NY",3.9
18,17,Ohio State University ,"Columbus, OH",3.9
19,17,Pennsylvania State University—​University Park ,"University Park, PA",3.9
20,20,University of Arizona ,"Tucson, AZ",3.8
21,20,University of Minnesota—​Twin Cities ,"Minneapolis, MN",3.8
22,20,University of Washington ,"Seattle, WA",3.8
23,20,Yale University ,"New Haven, CT",3.8
24,24,University of Maryland—​College Park ,"College Park, MD",3.7
25,25,Brown University ,"Providence, RI",3.6
26,25,University of California—​Irvine ,"Irvine, CA",3.6
27,27,Johns Hopkins University ,"Baltimore, MD",3.5
28,28,CUNY Graduate School and University Center ,"New York, NY",3.4
30,28,"Rutgers, The State University of New Jersey—​New Brunswick ","Piscataway, NJ",3.4
31,28,University at Albany—​SUNY ,"Albany, NY",3.4
32,31,University of California—​Davis ,"Davis, CA",3.3
33,31,University of California—​Santa Barbara ,"Santa Barbara, CA",3.3
34,31,University of Massachusetts—​Amherst ,"Amherst, MA",3.3
35,31,Vanderbilt University ,"Nashville, TN",3.3
36,35,Emory University ,"Atlanta, GA",3.2
37,35,University of California—​San Diego ,"La Jolla, CA",3.2
38,35,University of Iowa ,"Iowa City, IA",3.2
39,35,University of Virginia ,"Charlottesville, VA",3.2
40,39,Florida State University ,"Tallahassee, FL",3.1
41,39,University of Illinois—​Chicago ,"Chicago, IL",3.1
42,39,University of Southern California ,"Los Angeles, CA",3.1
43,42,Stony Brook University—​SUNY ,"Stony Brook, NY",3.0
44,42,University of California—​Riverside ,"Riverside, CA",3.0
45,42,University of Illinois—​Urbana-​Champaign ,"Urbana, IL",3.0
46,42,University of Notre Dame ,"Notre Dame, IN",3.0
47,46,Boston College ,"Chestnut Hill, MA",2.9
48,46,Michigan State University ,"East Lansing, MI",2.9
49,46,Texas A&M University—​College Station ,"College Station, TX",2.9
50,46,University of Colorado—​Boulder ,"Boulder, CO",2.9
51,46,University of Georgia ,"Athens, GA",2.9
52,46,Washington State University ,"Pullman, WA",2.9
53,52,Brandeis University ,"Waltham, MA",2.8
54,52,North Carolina State University ,"Raleigh, NC",2.8
56,52,Purdue University—​West Lafayette ,"West Lafayette, IN",2.8
57,52,University of California—​San Francisco ,"San Francisco, CA",2.8
58,52,University of Connecticut ,"Storrs, CT",2.8
59,52,University of Florida ,"Gainesville, FL",2.8
60,52,University of Pittsburgh ,"Pittsburgh, PA",2.8
61,59,Arizona State University ,"Tempe, AZ",2.7
62,59,Boston University ,"Boston, MA",2.7
63,59,New School ,"New York, NY",2.7
64,59,University of California—​Santa Cruz ,"Santa Cruz, CA",2.7
65,59,University of Oregon ,"Eugene, OR",2.7
66,64,Bowling Green State University ,"Bowling Green, OH",2.6
67,64,Northeastern University ,"Boston, MA",2.6
68,64,Temple University ,"Philadelphia, PA",2.6
69,64,University of Delaware ,"Newark, DE",2.6
70,64,University of Kansas ,"Lawrence, KS",2.6
71,69,Binghamton University—​SUNY ,"Binghamton, NY",2.5
72,69,Syracuse University ,"Syracuse, NY",2.5
73,69,University of Nebraska—​Lincoln ,"Lincoln, NE",2.5
74,69,University of South Carolina ,"Columbia, SC",2.5
75,69,Virginia Tech ,"Blacksburg, VA",2.5
76,74,Iowa State University ,"Ames, IA",2.4
77,74,"Teachers College, Columbia University ","New York, NY",2.4
78,76,Georgia State University ,"Atlanta, GA",2.3
79,76,Louisiana State University—​Baton Rouge ,"Baton Rouge, LA",2.3
80,78,Case Western Reserve University ,"Cleveland, OH",2.2
82,78,Loyola University Chicago ,"Chicago, IL",2.2
83,78,Tulane University ,"New Orleans, LA",2.2
84,78,University at Buffalo—​SUNY ,"Buffalo, NY",2.2
85,78,University of Missouri ,"Columbia, MO",2.2
86,78,University of New Mexico ,"Albuquerque, NM",2.2
87,84,American University ,"Washington, DC",2.1
88,84,Baylor University ,"Waco, TX",2.1
89,84,Colorado State University ,"Fort Collins, CO",2.1
90,84,Howard University ,"Washington, DC",2.1
91,84,Kent State University ,"Kent, OH",2.1
92,84,Southern Illinois University—​Carbondale ,"Carbondale, IL",2.1
93,84,University of Kentucky ,"Lexington, KY",2.1
94,84,University of Miami ,"Coral Gables, FL",2.1
95,84,University of New Hampshire ,"Durham, NH",2.1
96,84,University of Tennessee—​Knoxville ,"Knoxville, TN",2.1
97,94,Brigham Young University—​Provo ,"Provo, UT",2.0
98,94,Fordham University ,"Bronx, NY",2.0
99,94,University of Alabama—​Birmingham ,"Birmingham, AL",2.0
100,94,University of Cincinnati ,"Cincinnati, OH",2.0
101,94,University of Nevada—​Las Vegas ,"Las Vegas, NV",2.0
102,94,University of Oklahoma ,"Norman, OK",2.0
103,,The Catholic University of America ,"Washington, DC",
